sim_num,date,virus_id,virus,outbreak_size
172,6,0,Measles,3
172,7,0,Measles,3
172,8,0,Measles,3
172,9,0,Measles,3
172,10,0,Measles,3
172,11,0,Measles,3
172,12,0,Measles,3
172,13,0,Measles,3
172,14,0,Measles,3
172,15,0,Measles,3
172,16,0,Measles,3
172,17,0,Measles,3
172,18,0,Measles,3
172,19,0,Measles,4
172,20,0,Measles,4
172,21,0,Measles,4
172,22,0,Measles,4
172,23,0,Measles,4
172,24,0,Measles,4
172,25,0,Measles,4
172,26,0,Measles,4
172,27,0,Measles,4
172,28,0,Measles,4
172,29,0,Measles,4
172,30,0,Measles,4
172,31,0,Measles,4
172,32,0,Measles,4
172,33,0,Measles,4
172,34,0,Measles,4
172,35,0,Measles,4
172,36,0,Measles,4
172,37,0,Measles,4
172,38,0,Measles,4
172,39,0,Measles,4
172,40,0,Measles,4
172,41,0,Measles,4
172,42,0,Measles,4
172,43,0,Measles,4
172,44,0,Measles,4
172,45,0,Measles,4
172,46,0,Measles,4
172,47,0,Measles,4
172,48,0,Measles,4
172,49,0,Measles,4
172,50,0,Measles,4
172,51,0,Measles,4
172,52,0,Measles,4
172,53,0,Measles,4
172,54,0,Measles,4
172,55,0,Measles,4
172,56,0,Measles,4
172,57,0,Measles,4
172,58,0,Measles,4
172,59,0,Measles,4
172,60,0,Measles,4
173,0,0,Measles,2
173,1,0,Measles,2
173,2,0,Measles,2
173,3,0,Measles,2
173,4,0,Measles,2
173,5,0,Measles,3
173,6,0,Measles,5
173,7,0,Measles,5
173,8,0,Measles,5
173,9,0,Measles,5
173,10,0,Measles,6
173,11,0,Measles,6
173,12,0,Measles,7
173,13,0,Measles,7
173,14,0,Measles,8
173,15,0,Measles,11
173,16,0,Measles,11
173,17,0,Measles,13
173,18,0,Measles,13
173,19,0,Measles,13
173,20,0,Measles,14
173,21,0,Measles,19
173,22,0,Measles,20
173,23,0,Measles,21
173,24,0,Measles,22
173,25,0,Measles,22
173,26,0,Measles,22
173,27,0,Measles,22
173,28,0,Measles,22
173,29,0,Measles,22
173,30,0,Measles,22
173,31,0,Measles,24
173,32,0,Measles,25
173,33,0,Measles,27
173,34,0,Measles,28
173,35,0,Measles,29
173,36,0,Measles,29
173,37,0,Measles,30
173,38,0,Measles,32
173,39,0,Measles,35
173,40,0,Measles,40
173,41,0,Measles,40
173,42,0,Measles,41
173,43,0,Measles,45
173,44,0,Measles,47
173,45,0,Measles,48
173,46,0,Measles,52
173,47,0,Measles,55
173,48,0,Measles,57
173,49,0,Measles,58
173,50,0,Measles,63
173,51,0,Measles,65
173,52,0,Measles,68
173,53,0,Measles,71
173,54,0,Measles,75
173,55,0,Measles,79
173,56,0,Measles,82
173,57,0,Measles,84
173,58,0,Measles,85
173,59,0,Measles,88
173,60,0,Measles,89
174,0,0,Measles,2
174,1,0,Measles,2
174,2,0,Measles,2
174,3,0,Measles,2
174,4,0,Measles,2
174,5,0,Measles,3
174,6,0,Measles,3
174,7,0,Measles,3
174,8,0,Measles,3
174,9,0,Measles,3
174,10,0,Measles,3
174,11,0,Measles,3
174,12,0,Measles,3
174,13,0,Measles,3
174,14,0,Measles,3
174,15,0,Measles,3
174,16,0,Measles,3
174,17,0,Measles,3
174,18,0,Measles,3
174,19,0,Measles,3
174,20,0,Measles,3
174,21,0,Measles,3
174,22,0,Measles,4
174,23,0,Measles,4
174,24,0,Measles,4
174,25,0,Measles,4
174,26,0,Measles,4
174,27,0,Measles,4
174,28,0,Measles,4
174,29,0,Measles,4
174,30,0,Measles,4
174,31,0,Measles,4
174,32,0,Measles,4
174,33,0,Measles,4
174,34,0,Measles,4
174,35,0,Measles,4
174,36,0,Measles,4
174,37,0,Measles,4
174,38,0,Measles,4
174,39,0,Measles,4
174,40,0,Measles,4
174,41,0,Measles,4
174,42,0,Measles,4
174,43,0,Measles,4
174,44,0,Measles,4
174,45,0,Measles,4
174,46,0,Measles,4
174,47,0,Measles,4
174,48,0,Measles,4
174,49,0,Measles,4
174,50,0,Measles,4
174,51,0,Measles,4
174,52,0,Measles,4
174,53,0,Measles,4
174,54,0,Measles,4
174,55,0,Measles,4
174,56,0,Measles,4
174,57,0,Measles,4
174,58,0,Measles,4
174,59,0,Measles,4
174,60,0,Measles,4
175,0,0,Measles,2
175,1,0,Measles,2
175,2,0,Measles,2
175,3,0,Measles,2
175,4,0,Measles,2
175,5,0,Measles,2
175,6,0,Measles,2
175,7,0,Measles,3
175,8,0,Measles,3
175,9,0,Measles,6
175,10,0,Measles,7
175,11,0,Measles,7
175,12,0,Measles,9
175,13,0,Measles,11
175,14,0,Measles,12
175,15,0,Measles,12
175,16,0,Measles,12
175,17,0,Measles,12
175,18,0,Measles,12
175,19,0,Measles,12
175,20,0,Measles,14
175,21,0,Measles,14
175,22,0,Measles,14
175,23,0,Measles,14
175,24,0,Measles,14
175,25,0,Measles,14
175,26,0,Measles,14
175,27,0,Measles,14
175,28,0,Measles,14
175,29,0,Measles,14
175,30,0,Measles,15
175,31,0,Measles,15
175,32,0,Measles,16
175,33,0,Measles,16
175,34,0,Measles,16
175,35,0,Measles,16
175,36,0,Measles,16
175,37,0,Measles,16
175,38,0,Measles,16
175,39,0,Measles,17
175,40,0,Measles,18
175,41,0,Measles,21
175,42,0,Measles,23
175,43,0,Measles,23
175,44,0,Measles,23
175,45,0,Measles,25
175,46,0,Measles,25
175,47,0,Measles,25
175,48,0,Measles,25
175,49,0,Measles,25
175,50,0,Measles,26
175,51,0,Measles,26
175,52,0,Measles,26
175,53,0,Measles,26
175,54,0,Measles,26
175,55,0,Measles,26
175,56,0,Measles,26
175,57,0,Measles,26
175,58,0,Measles,26
175,59,0,Measles,26
175,60,0,Measles,26
176,0,0,Measles,2
176,1,0,Measles,2
176,2,0,Measles,2
176,3,0,Measles,2
176,4,0,Measles,2
176,5,0,Measles,2
176,6,0,Measles,2
176,7,0,Measles,2
176,8,0,Measles,2
176,9,0,Measles,2
176,10,0,Measles,2
176,11,0,Measles,2
176,12,0,Measles,2
176,13,0,Measles,2
176,14,0,Measles,3
176,15,0,Measles,3
176,16,0,Measles,3
176,17,0,Measles,3
176,18,0,Measles,3
176,19,0,Measles,3
176,20,0,Measles,3
176,21,0,Measles,4
